+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                      URI                      |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY) | SUM(BODY)  | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa52d56/score     | 6.520 | 6.520  | 6.520   | 6.520  | 6.520  | 6.520  | 6.520  | 0.000  | 54.000    | 54.000    | 54.000     | 54.000    |
| 4     | 0   | 4   | 0   | 0   | 0   | GET    | /api/player/player/9fa528bb                   | 0.004 | 6.472  | 6.516   | 1.629  | 6.472  | 6.472  | 6.472  | 2.796  | 459.000   | 568.000   | 2054.000   | 513.500   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52863                   | 6.484 | 6.484  | 6.484   | 6.484  | 6.484  | 6.484  | 6.484  | 0.000  | 671.000   | 671.000   | 671.000    | 671.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa527d5                   | 0.008 | 5.960  | 6.476   | 2.159  | 5.960  | 5.960  | 5.960  | 2.696  | 459.000   | 785.000   | 1916.000   | 638.667   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa52a6e                   | 0.004 | 6.444  | 6.472   | 2.157  | 6.444  | 6.444  | 6.444  | 3.031  | 688.000   | 688.000   | 2064.000   | 688.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa52aa1                   | 0.012 | 6.384  | 6.396   | 3.198  | 6.384  | 6.384  | 6.384  | 3.186  | 380.000   | 801.000   | 1181.000   | 590.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa5289f                   | 0.004 | 6.352  | 6.356   | 3.178  | 6.352  | 6.352  | 6.352  | 3.174  | 264.000   | 671.000   | 935.000    | 467.500   |
| 5     | 0   | 4   | 0   | 1   | 0   | GET    | /api/player/player/9fa52a39                   | 0.040 | 5.284  | 6.308   | 1.262  | 5.284  | 5.284  | 5.284  | 2.043  | 0.000     | 799.000   | 2144.000   | 428.800   |
| 4     | 0   | 4   | 0   | 0   | 0   | GET    | /api/player/player/9fa52a0d                   | 0.020 | 5.700  | 6.308   | 1.577  | 5.700  | 5.700  | 5.700  | 2.387  | 475.000   | 585.000   | 2230.000   | 557.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa527f3                   | 0.012 | 6.260  | 6.272   | 3.136  | 6.260  | 6.260  | 6.260  | 3.124  | 785.000   | 785.000   | 1570.000   | 785.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa52914                   | 0.008 | 6.156  | 6.224   | 2.075  | 6.156  | 6.156  | 6.156  | 2.886  | 363.000   | 782.000   | 1927.000   | 642.333   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa52998                   | 0.004 | 6.196  | 6.200   | 3.100  | 6.196  | 6.196  | 6.196  | 3.096  | 380.000   | 475.000   | 855.000    | 427.500   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52908                   | 6.192 | 6.192  | 6.192   | 6.192  | 6.192  | 6.192  | 6.192  | 0.000  | 568.000   | 568.000   | 568.000    | 568.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa52994                   | 0.004 | 6.060  | 6.124   | 2.041  | 6.060  | 6.060  | 6.060  | 2.842  | 380.000   | 688.000   | 1448.000   | 482.667   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa5279d                   | 6.108 | 6.108  | 6.108   | 6.108  | 6.108  | 6.108  | 6.108  | 0.000  | 784.000   | 784.000   | 784.000    | 784.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52961                   | 6.072 | 6.072  | 6.072   | 6.072  | 6.072  | 6.072  | 6.072  | 0.000  | 800.000   | 800.000   | 800.000    | 800.000   |
| 4     | 0   | 4   | 0   | 0   | 0   | GET    | /api/player/player/9fa529f5                   | 0.004 | 5.960  | 6.048   | 1.512  | 5.960  | 5.960  | 5.960  | 2.568  | 380.000   | 801.000   | 2454.000   | 613.500   |
